theme,score
sd card,0.032763784294655214
memory card,0.03034456594462177
gb card,0.01836719904839109
galaxy note,0.015377992580506341
samsung galaxy,0.01503986959448497
micro sd,0.014263271412950619
microsd card,0.012899163440922515
write speed,0.012079373141789829
worked fine,0.011191627067493728
stopped working,0.010088978775603058
micro sd card,0.009562381091536334
card work,0.00909954801570725
dont know,0.008996903992759956
card worked,0.008888043617067238
card reader,0.008352439641540393
card phone,0.008180956207659025
sandisk ultra,0.007913707631666997
card failed,0.007769371630799168
speed mb,0.0077342864629331345
make sure,0.007274885708813231
